Entry	Gene names	Organism	Gene ontology IDs
O28272	AF_2007	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	GO:0008703; GO:0009231; GO:0050661
Q9WZL3	TM_0754	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	GO:0008942; GO:0050660
W0DGW6	THERU_04965	Thermocrinis ruber	GO:0016668; GO:0050660
G4FFH8	cmk Tmari_1449	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	GO:0004127; GO:0005524; GO:0005737; GO:0006220
O66550	folK aq_162	Aquifex aeolicus (strain VF5)	GO:0003848; GO:0005524; GO:0016301; GO:0046654; GO:0046656
M1IVM3	SacN8_06280	Sulfolobus acidocaldarius N8	GO:0004113; GO:0008664
O67011	tsaE aq_843	Aquifex aeolicus (strain VF5)	GO:0002949; GO:0005524; GO:0005737; GO:0046872
P59283	rpoP MJ0593.1	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	GO:0003677; GO:0003899; GO:0006351; GO:0046872
Q58085	arfC MJ0671	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	GO:0009231; GO:0016616; GO:0046983; GO:0050661; GO:0051287
O67086	rplT aq_952	Aquifex aeolicus (strain VF5)	GO:0003735; GO:0005840; GO:0006412; GO:0019843
O67194	aq_1110	Aquifex aeolicus (strain VF5)	
A0A1M6QN13	SAMN05444391_0307	Thermocrinis minervae	GO:0016021; GO:0051301
O67706	aq_1854	Aquifex aeolicus (strain VF5)	GO:0009055; GO:0020037; GO:0046872; GO:0055114
Q4J9J8	Saci_1186	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	GO:0003700
W0DI10	rplD THERU_07340	Thermocrinis ruber	GO:0003735; GO:0005840; GO:0006412; GO:0019843
Q58399	MJ0992	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	
D2C6C5	Tnap_0410	Thermotoga naphthophila (strain ATCC BAA-489 / DSM 13996 / JCM 10882 / RKU-10)	GO:0016021
Q58426	MJ1020	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	
M1I7M1	SacN8_10040	Sulfolobus acidocaldarius N8	GO:0016021
W0DDP7	THERU_00060	Thermocrinis ruber	GO:0045892
M1IEH1	SacRon12I_08385	Sulfolobus acidocaldarius Ron12/I	GO:0010181; GO:0016491
Q9X0Y6	TM_1259	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	GO:0000160; GO:0003677; GO:0005622; GO:0006351; GO:0006355
O67558	glpC aq_1639	Aquifex aeolicus (strain VF5)	GO:0046872; GO:0051539; GO:0055114
Q9WYT6	TM_0465	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	
O30161	AF_0075	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	
W0DAE2	THERU_00990	Thermocrinis ruber	GO:0005524; GO:0016887
M1J573	uvsE SacN8_05330	Sulfolobus acidocaldarius N8	GO:0004519; GO:0006289; GO:0009411
E3GY49	tmk Mfer_0431	Methanothermus fervidus (strain ATCC 43054 / DSM 2088 / JCM 10308 / V24 S)	GO:0004798; GO:0005524; GO:0006233; GO:0006235
O29242	AF_1020	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	GO:0008152; GO:0016597
Q9X0U0	TM_1213	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	GO:0008137; GO:0016021
Q57780	MJ0334	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	
A0A0U3GVA6	ATY89_08215 ATZ20_11235	Sulfolobus acidocaldarius	GO:0015171; GO:0016021
O66652	mutS mutS1 aq_308	Aquifex aeolicus (strain VF5)	GO:0005524; GO:0006298; GO:0030983
A0A1M6SLQ0	SAMN05444391_1074	Thermocrinis minervae	
A0A1M6S5I8	rpsB SAMN05444391_0887	Thermocrinis minervae	GO:0003735; GO:0006412; GO:0015935
A0A1M6Q4J4	SAMN05444391_0077	Thermocrinis minervae	GO:0016491
Q57870	MJ0427	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	
Q4J8S4	Saci_1494	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	GO:0005524; GO:0006810
Q58587	MJ1188	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	
O67013	mreB aq_845	Aquifex aeolicus (strain VF5)	GO:0000902
M1IQJ0	SacN8_05425	Sulfolobus acidocaldarius N8	GO:0008270; GO:0016491
G4FGE2	buk Tmari_1764	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	GO:0005524; GO:0005737; GO:0047761
W0DFK4	THERU_02925	Thermocrinis ruber	
Q57948	ehaA MJ0528	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	GO:0005886; GO:0016021
E3GXX6	Mfer_0356	Methanothermus fervidus (strain ATCC 43054 / DSM 2088 / JCM 10308 / V24 S)	GO:0016021
